,State_code,Name,rural-percentage,urban-percentage,p-value
0,0,INDIA,4.243962545210197,13.424759674746731,0.33240738789033075
1,1,JAMMU & KASHMIR,13.819891392898159,24.393736299392817,0.5689967277343171
2,2,HIMACHAL PRADESH,4.546870572615183,9.653446653266565,0.27958068859592794
3,3,PUNJAB,24.393583742615395,34.60902462567599,0.5236891340259475
4,4,CHANDIGARH,15.01500465661757,30.943856500844163,0.5920836332028827
5,5,UTTARAKHAND,1.0034313141737177,3.843817904082788,0.26386845577225765
6,6,HARYANA,3.4099870261468053,6.871713663593377,0.27079068263655987
7,7,NCT OF DELHI,1.3063129710148387,8.264202742041478,0.39906995838486314
8,8,RAJASTHAN,1.1835006486945954,2.33013854635286,0.2366008673570947
9,9,UTTAR PRADESH,0.8162955315248313,2.9617128534012864,0.2171387500297831
10,10,BIHAR,1.3673991381290627,3.5711466968577015,0.316181670500719
11,11,SIKKIM,25.859137547346933,41.168656969097135,0.8288549720438244
12,12,ARUNACHAL PRADESH,27.43112538190739,39.71307846702104,0.8679294567952576
13,13,NAGALAND,21.753333484898434,40.50941737336374,0.7477930060072066
14,14,MANIPUR,18.602866979284148,28.85977888974938,0.7457949238509403
15,15,MIZORAM,3.4480002283821976,6.094922617621391,0.33264603755210753
16,16,TRIPURA,4.109658229565443,9.059621219133957,0.5840667086626801
17,17,MEGHALAYA,5.199501231109044,25.464438659837096,0.34742927151913894
18,18,ASSAM,11.076842742095227,31.445056111775223,0.5569001503327622
19,19,WEST BENGAL,1.067934633635984,7.62014865293035,0.35635272778447113
20,20,JHARKHAND,3.720611789875847,8.330164106893921,0.39608668117281787
21,21,ODISHA,9.611126638456655,30.90118932169141,0.4679623553712977
22,22,CHHATTISGARH,1.006953247204031,3.791763744650921,0.3034762297935386
23,23,MADHYA PRADESH,1.0707111789615789,3.464053867067808,0.26170060267784323
24,24,GUJARAT,8.737057679479829,21.51588713075813,0.4294518764772717
25,25,DAMAN & DIU,12.929664216173256,14.652914121333763,0.6387742931409097
26,26,DADRA & NAGAR HAVELI,21.65754666491912,19.8374793735795,0.8649336987406011
27,27,MAHARASHTRA,9.865760769603337,26.86387583643903,0.4904343459936864
28,28,ANDHRA PRADESH,4.189923150298052,14.11408417887546,0.3591470550018321
29,29,KARNATAKA,5.466301977336934,24.481297311830097,0.42873022557348406
30,30,GOA,47.44721612524944,52.87390798995163,0.7214047821843965
31,31,LAKSHADWEEP,14.192772788345945,15.842803782881665,0.38691627151461017
32,32,KERALA,7.786231403970034,11.474606157568601,0.38153786722509153
33,33,TAMIL NADU,1.5274651157855887,5.379815931523044,0.3651525371087446
34,34,PUDUCHERRY,1.2725202429149798,7.814220530446684,0.3931570062031351
35,35,ANDAMAN & NICOBAR ISLANDS,16.084827472763852,24.09400089206066,0.7208455633648518
