,State_code,Name,rural-percentage,urban-percentage,p-value
0,0,INDIA,15.263288902255665,26.974288471183012,0.33240738789033075
1,1,JAMMU & KASHMIR,31.933408431652843,34.32487427335445,0.5689967277343171
2,2,HIMACHAL PRADESH,11.345455428631569,28.279345641287808,0.27958068859592794
3,3,PUNJAB,16.445332247244497,22.62686762932264,0.5236891340259475
4,4,CHANDIGARH,25.421682591148976,24.411203954566137,0.5920836332028827
5,5,UTTARAKHAND,10.865780847792951,26.40946985870376,0.26386845577225765
6,6,HARYANA,13.292914643142717,25.58458095319632,0.27079068263655987
7,7,NCT OF DELHI,22.250514268259504,32.78010329222509,0.39906995838486314
8,8,RAJASTHAN,7.063095413406106,16.593746453047366,0.2366008673570947
9,9,UTTAR PRADESH,6.213120088287924,23.908036718590555,0.2171387500297831
10,10,BIHAR,13.718197971276947,20.51053511068534,0.316181670500719
11,11,SIKKIM,34.147558309755595,33.561447603172326,0.8288549720438244
12,12,ARUNACHAL PRADESH,34.336498624289405,31.901036333101217,0.8679294567952576
13,13,NAGALAND,35.47745848063567,33.78204656669574,0.7477930060072066
14,14,MANIPUR,28.77836805761659,22.77840782397495,0.7457949238509403
15,15,MIZORAM,20.000951592490033,26.521981702464796,0.33264603755210753
16,16,TRIPURA,32.71077514761486,19.00831345890023,0.5840667086626801
17,17,MEGHALAYA,14.775627793925967,33.08321437568226,0.34742927151913894
18,18,ASSAM,32.8737785761752,29.455419545840417,0.5569001503327622
19,19,WEST BENGAL,10.138623970144435,20.074693563764924,0.35635272778447113
20,20,JHARKHAND,24.17134845306577,29.642177212553893,0.39608668117281787
21,21,ODISHA,19.07412297234457,23.265248892863955,0.4679623553712977
22,22,CHHATTISGARH,9.67651863444649,17.925610852320702,0.3034762297935386
23,23,MADHYA PRADESH,9.069353958197784,18.855127992085468,0.26170060267784323
24,24,GUJARAT,24.26040310758366,34.5880337616313,0.4294518764772717
25,25,DAMAN & DIU,34.753957215709654,33.38073075892393,0.6387742931409097
26,26,DADRA & NAGAR HAVELI,38.59562895245585,35.36411469846508,0.8649336987406011
27,27,MAHARASHTRA,29.738239966376025,38.1544731786266,0.4904343459936864
28,28,ANDHRA PRADESH,15.082795051150159,23.877600523759195,0.3591470550018321
29,29,KARNATAKA,23.20368109015012,32.70216044536091,0.42873022557348406
30,30,GOA,27.379465717895137,25.787206637744898,0.7214047821843965
31,31,LAKSHADWEEP,10.607453503995474,14.050703329889533,0.38691627151461017
32,32,KERALA,14.041033968314022,15.823393218142337,0.38153786722509153
33,33,TAMIL NADU,20.203682071169734,29.920174560334324,0.3651525371087446
34,34,PUDUCHERRY,19.21862348178138,28.692364612027166,0.3931570062031351
35,35,ANDAMAN & NICOBAR ISLANDS,48.27810184189327,48.960888715432645,0.7208455633648518
